Name,SoldPrice,AskPrice,Rooms,Size,MonthlyRent,YearlyRent,YearBuilt,Region,Kommun,Lat,Log
Torsby Solängsväg 14A,1750000,1800000.0,1.0,33.0,1990.0,13800.0,2017.0,Torsby,Värmdö,59.3363166,18.4900573
Kaplansgatan 6,1095000,1095000.0,1.0,35.0,2515.0,2400.0,,Centrum,Södertälje,59.1964289,17.6271663
Kaplansgatan 6,1095000,1095000.0,1.0,35.0,2515.0,2400.0,,Södertälje,Södertälje,59.1964289,17.6271663
Kaplansgatan 6,1295000,1295000.0,,42.0,2984.0,,,Centrum,Södertälje,59.1964289,17.6271663
Kaplansgatan 6,1295000,1295000.0,,42.0,2984.0,,,Södertälje,Södertälje,59.1964289,17.6271663
Backvägen 15,1750000,1750000.0,4.0,94.0,5990.0,1200.0,1959.0,Tungelsta,Haninge,59.1045233,18.0445077
Backvägen 15,1750000,1595000.0,2.0,56.0,3771.0,,1959.0,Tungelsta,Haninge,59.1045233,18.0445077
Dianavägen 2M,1730000,1695000.0,,20.0,1982.0,11388.0,2014.0,Huddinge,Huddinge,59.2293827,17.9748815
Hållsätrabacken 36,1700000,1495000.0,1.0,44.0,3072.0,,1966.0,Sätra,Stockholms,59.2854236,17.915482
Hertig Carls väg 41B,1495000,1495000.0,,43.0,2773.0,4500.0,1947.0,Södra,Södertälje,59.1964289,17.6271663
Turingegatan 36,1610000,1495000.0,2.0,41.0,1590.0,,1958.0,Centrum,Södertälje,59.1964289,17.6271663
Turingegatan 36,1610000,1495000.0,2.0,41.0,1590.0,,1958.0,Södertälje,Södertälje,59.1964289,17.6271663
Turingegatan 36,3035000,2695000.0,5.0,108.0,3570.0,3650.0,1958.0,Centrum,Södertälje,59.1964289,17.6271663
Turingegatan 36,3035000,2695000.0,5.0,108.0,3570.0,3650.0,1958.0,Södertälje,Södertälje,59.1964289,17.6271663
Lagmansbacken 3 5tr,1555000,1550000.0,2.0,36.0,2340.0,3600.0,2019.0,Norsborg,Botkyrka,59.2439038,17.8127308
Lagmansbacken 3 5tr,1555000,1550000.0,2.0,36.0,2340.0,3600.0,2019.0,Norra,Botkyrka,59.2034494,17.8545982
Lagmansbacken 3 5tr,1450000,1450000.0,1.0,29.0,1885.0,,2018.0,Norsborg,Botkyrka,59.2439038,17.8127308
Lagmansbacken 3 5tr,1450000,1450000.0,1.0,29.0,1885.0,,2018.0,Norra,Botkyrka,59.2034494,17.8545982
Hörningsnäsvägen 32,1450000,1295000.0,1.0,23.0,1241.0,2736.0,,Huddinge,Huddinge,59.2293827,17.9748815
Frejgatan 50,1530000,1450000.0,3.0,72.0,4896.0,5040.0,1969.0,Valsta,Sigtuna,59.6170229,17.8350314
Frejgatan 50,1530000,1450000.0,3.0,72.0,4896.0,5040.0,1969.0,Odenplan,Stockholms,59.3430821,18.0500142
Frejgatan 50,1430000,1395000.0,3.0,75.0,5042.0,7200.0,1966.0,Valsta,Sigtuna,59.6170229,17.8350314
Frejgatan 50,1430000,1395000.0,3.0,75.0,5042.0,7200.0,1966.0,Odenplan,Stockholms,59.3430821,18.0500142
Frejgatan 50,4870000,4250000.0,2.0,47.0,2724.0,9100.0,1896.0,Valsta,Sigtuna,59.6170229,17.8350314
Frejgatan 50,4870000,4250000.0,2.0,47.0,2724.0,9100.0,1896.0,Odenplan,Stockholms,59.3430821,18.0500142
Hammarvägen 50,1750000,1695000.0,2.0,62.0,3446.0,6300.0,,Jakobsberg,Järfälla,59.4238735,17.8329911
Lofotengatan 31,1500000,1395000.0,1.0,41.0,2542.0,,1974.0,Husby,Stockholms,59.409991,17.9262805
Grindvägen 34A,1600000,1495000.0,2.0,64.0,3443.0,9516.0,1967.0,Grind,Norrtälje,59.7666692,18.7206703
Hemmings väg 28,1750000,1750000.0,1.0,20.0,995.0,,2019.0,Väsjön,Sollentuna,59.45702915,17.972819939323337
Paradisgränd 5,1395000,1395000.0,,39.0,3268.0,2400.0,,Södertälje,Södertälje,59.1964289,17.6271663
Månadsvägen 29,1250000,1375000.0,1.0,27.0,2586.0,,,Jakobsberg,Järfälla,59.4238735,17.8329911
Elsarostigen 4,1210000,995000.0,2.0,60.0,4207.0,1900.0,1960.0,Brunnsäng,Södertälje,59.2123281,17.6330566
Elsarostigen 4,1270000,1095000.0,2.0,59.0,3990.0,,1960.0,Brunnsäng,Södertälje,59.2123281,17.6330566
Elsarostigen 4,995000,995000.0,1.0,32.0,2289.0,1800.0,1960.0,Brunnsäng,Södertälje,59.2123281,17.6330566
